iter	Passed	Remaining
0	205	204972
1	250	125041
2	283	94263
3	324	80868
4	358	71250
5	388	64426
6	417	59284
7	451	55961
8	480	52957
9	513	50792
10	543	48829
11	573	47219
12	605	45997
13	637	44880
14	667	43837
15	699	43004
16	728	42127
17	759	41429
18	820	42352
19	850	41684
20	894	41711
21	937	41692
22	979	41600
23	1066	43363
24	1117	43576
25	1149	43050
26	1181	42563
27	1213	42136
28	1242	41599
29	1287	41635
30	1325	41424
31	1371	41485
32	1413	41419
33	1452	41264
34	1489	41071
35	1524	40816
36	1556	40518
37	1589	40245
38	1621	39954
39	1661	39869
40	1694	39638
41	1740	39690
42	1779	39602
43	1812	39378
44	1844	39134
45	1876	38922
46	1904	38612
47	1935	38386
48	1962	38095
49	1994	37893
50	2022	37637
51	2057	37509
52	2093	37399
53	2126	37256
54	2158	37083
55	2187	36867
56	2217	36680
57	2248	36519
58	2281	36386
59	2311	36214
60	2339	36018
61	2369	35841
62	2397	35653
63	2427	35497
64	2456	35333
65	2484	35160
66	2513	34997
67	2548	34923
68	2599	35080
69	2635	35013
70	2679	35059
71	2737	35279
72	2783	35345
73	2830	35422
74	2878	35503
75	2938	35729
76	2990	35844
77	3043	35981
78	3087	35989
79	3124	35930
80	3170	35974
81	3214	35988
82	3254	35957
83	3289	35869
84	3330	35854
85	3368	35800
86	3411	35795
87	3455	35810
88	3497	35795
89	3534	35733
90	3572	35684
91	3609	35622
92	3647	35570
93	3683	35505
94	3723	35472
95	3766	35464
96	3815	35517
97	3905	35944
98	3968	36121
99	4014	36126
100	4050	36054
101	4087	35989
102	4124	35920
103	4158	35831
104	4192	35739
105	4227	35650
106	4263	35580
107	4299	35510
108	4337	35453
109	4371	35367
110	4404	35277
111	4438	35187
112	4473	35113
113	4513	35076
114	4548	35003
115	4583	34932
116	4614	34823
117	4645	34723
118	4681	34662
119	4716	34589
120	4753	34534
121	4793	34496
122	4834	34467
123	4874	34434
124	4915	34411
125	4965	34442
126	5007	34422
127	5059	34465
128	5100	34439
129	5139	34393
130	5182	34378
131	5223	34347
132	5280	34422
133	5321	34392
134	5357	34328
135	5390	34246
136	5430	34206
137	5469	34166
138	5508	34119
139	5563	34178
140	5614	34201
141	5649	34134
142	5683	34059
143	5721	34013
144	5756	33941
145	5796	33905
146	5850	33951
147	5893	33930
148	5938	33914
149	5974	33853
150	6007	33778
151	6043	33713
152	6076	33639
153	6108	33558
154	6141	33483
155	6179	33430
156	6219	33392
157	6261	33366
158	6313	33395
159	6355	33366
160	6396	33332
161	6431	33267
162	6466	33204
163	6504	33156
164	6547	33132
165	6599	33158
166	6650	33173
167	6689	33128
168	6723	33060
169	6755	32981
170	6787	32904
171	6825	32857
172	6863	32811
173	6912	32814
174	6955	32790
175	6987	32715
176	7026	32669
177	7060	32603
178	7093	32537
179	7127	32468
180	7164	32420
181	7198	32352
182	7232	32288
183	7266	32223
184	7301	32166
185	7334	32099
186	7367	32031
187	7399	31959
188	7434	31901
189	7467	31834
190	7499	31766
191	7564	31832
192	7595	31760
193	7627	31689
194	7659	31621
195	7691	31552
196	7724	31484
197	7758	31424
198	7792	31367
199	7827	31309
200	7859	31240
201	7891	31174
202	7929	31130
203	7971	31104
204	8008	31055
205	8042	30997
206	8077	30944
207	8112	30888
208	8150	30848
209	8192	30821
210	8227	30767
211	8263	30715
212	8301	30674
213	8342	30641
214	8378	30592
215	8415	30544
216	8450	30490
217	8485	30437
218	8522	30392
219	8558	30342
220	8594	30296
221	8632	30252
222	8671	30212
223	8706	30162
224	8742	30112
225	8778	30062
226	8815	30020
227	8851	29971
228	8887	29921
229	8921	29867
230	8957	29818
231	8992	29766
232	9029	29723
233	9065	29676
234	9100	29625
235	9134	29571
236	9168	29518
237	9201	29459
238	9236	29408
239	9270	29355
240	9303	29301
241	9336	29244
242	9369	29186
243	9404	29137
244	9438	29086
245	9472	29034
246	9510	28994
247	9556	28977
248	9594	28937
249	9629	28889
250	9664	28838
251	9698	28786
252	9732	28737
253	9769	28691
254	9805	28645
255	9839	28597
256	9874	28548
257	9910	28501
258	9945	28452
259	9977	28396
260	10024	28383
261	10062	28343
262	10106	28321
263	10144	28280
264	10192	28269
265	10233	28239
266	10271	28199
267	10317	28181
268	10367	28172
269	10402	28124
270	10435	28072
271	10470	28023
272	10505	27975
273	10544	27938
274	10579	27891
275	10616	27849
276	10653	27807
277	10693	27772
278	10731	27731
279	10766	27684
280	10800	27634
281	10833	27583
282	10869	27537
283	10904	27490
284	10939	27445
285	10978	27407
286	11012	27359
287	11048	27315
288	11083	27268
289	11117	27218
290	11151	27170
291	11188	27127
292	11222	27080
293	11257	27034
294	11293	26990
295	11328	26944
296	11363	26898
297	11397	26848
298	11430	26799
299	11464	26750
300	11499	26705
301	11540	26673
302	11576	26630
303	11611	26584
304	11653	26555
305	11696	26528
306	11736	26493
307	11775	26457
308	11814	26419
309	11853	26382
310	11889	26341
311	11928	26303
312	11964	26260
313	12002	26222
314	12041	26185
315	12075	26137
316	12109	26091
317	12144	26045
318	12179	25999
319	12214	25954
320	12249	25911
321	12286	25871
322	12322	25827
323	12358	25784
324	12391	25737
325	12426	25692
326	12463	25650
327	12497	25603
328	12533	25561
329	12569	25519
330	12604	25476
331	12638	25429
332	12674	25386
333	12712	25348
334	12749	25309
335	12788	25271
336	12823	25227
337	12856	25180
338	12890	25135
339	12925	25090
340	12958	25043
341	12994	25000
342	13028	24955
343	13065	24916
344	13102	24876
345	13135	24828
346	13168	24781
347	13202	24734
348	13237	24691
349	13273	24651
350	13307	24606
351	13342	24562
352	13377	24518
